boro_code,ct2010,c_lat,c_lon
4,053401,40.7,-73.744
4,048400,40.716,-73.76
4,050000,40.712,-73.764
2,024800,40.855,-73.858
4,047800,40.72,-73.766
4,029500,40.756,-73.907
5,001100,40.639,-74.083
4,065000,40.669,-73.745
2,026100,40.867,-73.906
2,026300,40.865,-73.904
2,031600,40.862,-73.849
2,032400,40.861,-73.86
2,032600,40.862,-73.855
3,030200,40.596,-73.991
3,018200,40.612,-74.003
3,040200,40.596,-73.983
5,010500,40.634,-74.112
2,020502,40.851,-73.919
2,040702,40.869,-73.887
2,031800,40.862,-73.852
2,045800,40.886,-73.845
2,046000,40.882,-73.843
5,002900,40.62,-74.083
4,010100,40.778,-73.916
4,009700,40.776,-73.919
5,013301,40.636,-74.119
2,033800,40.868,-73.866
3,116800,40.679,-73.883
3,042500,40.701,-73.931
3,038900,40.699,-73.937
3,039100,40.7,-73.934
3,087200,40.654,-73.937
3,087401,40.66,-73.938
3,003300,40.689,-73.978
3,072400,40.634,-73.927
3,094402,40.635,-73.921
3,110400,40.657,-73.889
3,112200,40.664,-73.886
4,005200,40.681,-73.855
3,112000,40.667,-73.881
3,095600,40.636,-73.911
3,098800,40.643,-73.897
3,099000,40.639,-73.899
1,022000,40.806,-73.951
3,101200,40.64,-73.894
3,081600,40.654,-73.944
1,003100,40.715,-74.004
1,018000,40.794,-73.94
3,049100,40.704,-73.944
3,050900,40.703,-73.951
2,024502,40.855,-73.914
3,088400,40.662,-73.925
3,089400,40.662,-73.916
1,008900,40.745,-74.003
1,009300,40.747,-74.001
1,011100,40.755,-73.995
3,037100,40.68,-73.914
3,037900,40.68,-73.919
3,033500,40.668,-73.942
3,035300,40.669,-73.935
3,029900,40.678,-73.926
4,003400,40.685,-73.858
3,088200,40.66,-73.926
2,033600,40.868,-73.869
2,034800,40.869,-73.853
2,036400,40.874,-73.849
1,007500,40.734,-74.009
3,101800,40.642,-73.886
4,023500,40.739,-73.918
4,056700,40.697,-73.892
3,040500,40.682,-73.905
5,027704,40.585,-74.152
5,019700,40.617,-74.135
3,085800,40.65,-73.939
3,085200,40.647,-73.938
3,086000,40.65,-73.933
4,062900,40.701,-73.883
3,040700,40.684,-73.901
3,043700,40.693,-73.908
4,055500,40.697,-73.903
2,019900,40.837,-73.925
2,013000,40.819,-73.815
2,023704,40.856,-73.902
2,042100,40.881,-73.883
4,086900,40.765,-73.834
3,080800,40.657,-73.939
5,012100,40.626,-74.11
4,001200,40.694,-73.861
3,093600,40.649,-73.922
3,093800,40.65,-73.925
1,008300,40.742,-74.004
4,147900,40.77,-73.742
4,150702,40.766,-73.731
2,001600,40.819,-73.858
2,004200,40.824,-73.862
4,061900,40.71,-73.877
1,009400,40.755,-73.978
1,009600,40.756,-73.981
1,011201,40.764,-73.975
1,011202,40.763,-73.972
1,010900,40.752,-73.99
2,006400,40.833,-73.872
4,064500,40.709,-73.852
4,010300,40.781,-73.915
2,005001,40.825,-73.878
2,005002,40.827,-73.878
4,136700,40.744,-73.76
3,120000,40.675,-73.867
2,020900,40.843,-73.915
2,022500,40.84,-73.911
2,007200,40.831,-73.861
2,007600,40.833,-73.868
3,055300,40.716,-73.959
4,056500,40.694,-73.897
4,046500,40.747,-73.87
2,023100,40.846,-73.902
2,037900,40.852,-73.899
4,000600,40.686,-73.864
4,000800,40.687,-73.858
3,118400,40.684,-73.869
3,051900,40.716,-73.955
3,035000,40.578,-73.979
3,036200,40.578,-73.964
1,018600,40.799,-73.95
3,070000,40.62,-73.907
1,012200,40.768,-73.968
2,038100,40.852,-73.901
4,038301,40.761,-73.841
4,120100,40.753,-73.814
1,015002,40.782,-73.958
1,016001,40.786,-73.955
1,016900,40.785,-73.973
1,017401,40.795,-73.949
1,017000,40.791,-73.942
1,017200,40.794,-73.945
1,016500,40.782,-73.975
3,029000,40.603,-73.994
3,029600,40.601,-73.993
3,012100,40.671,-73.991
2,019300,40.836,-73.929
3,078600,40.634,-73.947
3,095000,40.636,-73.917
4,126500,40.72,-73.804
5,027705,40.588,-74.157
1,015601,40.784,-73.948
1,023100,40.826,-73.944
4,017900,40.745,-73.93
3,003800,40.634,-74.036
5,014608,40.558,-74.157
4,066300,40.721,-73.877
4,061800,40.677,-73.736
4,063200,40.677,-73.741
2,031900,40.913,-73.907
4,010500,40.783,-73.913
4,155101,40.757,-73.714
3,091800,40.662,-73.905
3,092000,40.659,-73.903
